year,scheduled,mini.pia,tax.ssb,cap.spouse,survivorjs75,tax.max.90,tax.max.90.FICA.134,fica.134,cola.chain.cpi,reduce.cola,increase.fra,increase.fra.era,taxmax150000,taxmax180000,no.tax.max
2070,0.214759287,0.038267033,0.18892392,0.252534169,0.288670912,0.513870875,0.793628337,0.481004801,0.350487311,0.330400995,0.301390492,0.308057078,0.31893033,0.366247189,0.695487324
2071,0.193939252,0.013115095,0.167421687,0.232556981,0.268964827,0.494450194,0.779211222,0.465317468,0.332416476,0.311889284,0.283785395,0.290646676,0.300313791,0.347872824,0.676986255
2072,0.176573547,-0.008838108,0.149693664,0.216042756,0.252686566,0.481946742,0.772015594,0.453133024,0.317850505,0.296872207,0.269713685,0.276795226,0.285453173,0.333773824,0.667431284
2073,0.155228119,-0.034506337,0.127744673,0.195516397,0.232435086,0.46941744,0.764939523,0.436858316,0.299219502,0.277814463,0.251478393,0.258337455,0.266860259,0.316146371,0.656084191
2074,0.13431499,-0.060297194,0.106348731,0.175522629,0.212883837,0.455094328,0.756699028,0.421765854,0.281447575,0.259547907,0.234272996,0.240878999,0.24909999,0.298983688,0.646855898
2075,0.106409918,-0.0926996,0.077839361,0.148513437,0.186233944,0.43022447,0.737381946,0.399395915,0.256516213,0.234143907,0.209522761,0.216010677,0.223283225,0.273754238,0.623652176
2076,0.086768114,-0.117643495,0.057569406,0.129916369,0.168061793,0.41919219,0.733126707,0.386115161,0.240283153,0.217366511,0.193903729,0.200395713,0.207255401,0.258557055,0.616803534
2077,0.062017311,-0.146919569,0.032360757,0.106052861,0.144519431,0.397056989,0.716381134,0.366702762,0.218400447,0.195034909,0.172538916,0.179082276,0.184797107,0.236812753,0.598039843
2078,0.04180987,-0.172913421,0.011552538,0.086982387,0.125934899,0.382557989,0.708948076,0.353428633,0.201932476,0.177971947,0.156486069,0.163143392,0.168734609,0.22191906,0.586184305
2079,0.022648059,-0.197706607,-0.008317177,0.068903853,0.108251767,0.371549596,0.705036513,0.340949778,0.18637265,0.161844642,0.141585064,0.14822481,0.152777148,0.206704923,0.579596801
2080,-0.004711934,-0.22961486,-0.036339492,0.042413016,0.082132903,0.348818394,0.687935744,0.319094543,0.161990077,0.136989745,0.117565202,0.124231519,0.127285206,0.181774866,0.559538861
2081,-0.024196606,-0.254034782,-0.056239583,0.02390336,0.063945269,0.335068927,0.680022861,0.305273785,0.145598983,0.120103523,0.101952086,0.108639746,0.111483516,0.166747938,0.549174819
2082,-0.050506467,-0.285514729,-0.083069169,-0.001362637,0.039033099,0.315578721,0.667206219,0.285299548,0.122690872,0.096659838,0.079529131,0.086268121,0.087742377,0.143863913,0.532250366
2083,-0.069975101,-0.310654823,-0.103454261,-0.019724175,0.02096775,0.305071373,0.663752817,0.2724402,0.106808637,0.080208252,0.06431603,0.071121113,0.071812926,0.128654647,0.526707805
2084,-0.098483423,-0.344358663,-0.132517215,-0.04718024,-0.006080952,0.279959197,0.645063744,0.25039845,0.081766873,0.054619391,0.03965956,0.046550263,0.045820654,0.103411277,0.504338979
2085,-0.124648927,-0.375487191,-0.159043045,-0.072375298,-0.030988329,0.256239793,0.627217561,0.230070512,0.058745921,0.031097881,0.017238897,0.024256447,0.022605693,0.080873956,0.482472575
2086,-0.146179476,-0.401434056,-0.181217359,-0.093074488,-0.051568962,0.243354694,0.619584625,0.213367995,0.039860412,0.01178498,-0.00076952,0.006269967,0.004202676,0.063254628,0.472796728
2087,-0.168651086,-0.423912886,-0.203694024,-0.115514834,-0.074639373,0.215705525,0.591049119,0.190509529,0.017366827,-0.010719479,-0.022349029,-0.016088833,-0.018248117,0.040079418,0.44412593
